1,JK,Rowling
2,William ,Fulton
3,Lee,Child
4,Eric,Carle
5,Allen,Hatcher
6,Patricia,MacLachlan
7,Ruth,Bader Ginsberg
8,David,Baldacci
9,Sheryl,Sandberg
10,Lauren,Layne
11,Jill ,Shalvis
12,Agatha,Christie
13,Margaret ,Truman
14,William ,Shakespeare
15,Walter,Isaacson
17,Benjamin,Franklin
16,Michael,Schulman
18,Theodore ,Roosevelt
19,Andy,Weir
20,Isaac,Asimov
21,Walter,Savitch
22,Charles,Petzold
23,Mark ,Kurlansky
24,Jennifer,Hart
25,Cynthia ,Freeman
26,Amor,Towles
27,Sandra,Cisneros
28,Charles,Carver
29,Gary,Armstrong
30,Thomas,Piketty
31,Immanuel,Kant
32,Kevin,Perry
33,Bertrand,Russell
34,Michael,Roskin
35,Karl,Marx
36,Laura,Ingalls Wilder
37,John,Grisham
